#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.29999999999999982236 116.00000000000000000000 0.69494647741067339108 -0.00026620888044741304 0.99999999999907052128 -2.84417031211619386610 0.36947121368995899937 0.69173135705367572168 -2.83939428775739965971 0.36589883541923640120
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.40000000000000035527 116.00000000000000000000 0.68818869452938424836 -0.00008421272732756359 0.99999999999907307480 -2.84296253227056272550 0.37285557887447307035 0.69173077510901814779 -2.83939038521895481537 0.36589924070702961600
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.50000000000000000000 116.00000000000000000000 0.68523643148727197971 0.00006466525934606552 0.99999999999907263071 -2.83831327453969617380 0.36999982429097061365 0.69173029762749060900 -2.83938588777916800510 0.36589964331944369036
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.59999999999999964473 116.00000000000000000000 0.68879253536058837604 0.00015404861509399196 0.99999999999907429604 -2.83500967024600170063 0.36303880145251210543 0.69172925132296203543 -2.83938078889935008320 0.36590068768385786147
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.00000000000000000000 0.10000000000000000555 5.70000000000000017764 116.00000000000000000000 0.69489018853773643070 0.00025446821198100988 0.99999999999907274173 -2.83600995548075518471 0.35815971936439727763 0.69172808113352846071 -2.83937485126004007796 0.36590174692464044748
