#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.20000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.51485987013225054110 0.00000000000000000000 0.99999999989310073278 -2.11333070453745808237 0.30764594419424146077
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.29999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.52167939071118041294 0.00000000000000000000 0.99999999989289856117 -2.14132333976123145902 0.30079852168476589602
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.40000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.52816292346538729063 0.00000000000000000000 0.99999999989268739675 -2.16793688150360841504 0.29389788921556320167
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.50000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.53430826339961812188 0.00000000000000000000 0.99999999989247179144 -2.19316227724245527142 0.28695041690218958674
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.59999999999999964473 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.54011358002958398394 0.00000000000000000000 0.99999999989224597208 -2.21699201163574510787 0.27996248512497717842
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.70000000000000017764 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.54557742149009236243 0.00000000000000000000 0.99999999989201227013 -2.23942012339063856174 0.27294047542652394300
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.79999999999999982236 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55069871801128433830 0.00000000000000000000 0.99999999989176857618 -2.26044221953953394788 0.26589076133489986109
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
4.90000000000000035527 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55547678473547656974 0.00000000000000000000 0.99999999989151777680 -2.28005548700919158378 0.25881969913264118999
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     <v_{dr}/v_{p}>         A(\omega)              NORM    <v_{y}/v_{p}>    <m/m_{x,k}
5.00000000000000000000 0.00000000000000000000 0.00000000000000000000 1.15999999999999992006 0.55991132384882491557 0.00000000000000000000 0.99999999989125998301 -2.29825870137764898260 0.25173361859269044460
