#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.50000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.35309359991410210755 0.01876489218494096708 0.99999999999909960913 -1.28757572461864366886 0.81236920667358913928 0.30581236430462321874 -1.25528259584288104378 0.81248465899792066125
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.60000000000000008882 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.36530014268756005880 0.01889544327993737671 0.99999999999909405801 -1.33688852604497321330 0.80448252273558518155 0.31794888588297287590 -1.30510016759918867635 0.80460442255378872289
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.70000000000000017764 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.37748970935728265452 0.01903161087783770966 0.99999999999909505721 -1.38610735400188800348 0.79626234441274490461 0.33007225606747842006 -1.35486385082949900571 0.79639122144983554019
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.79999999999999982236 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.38965985014031739864 0.01917320517288033724 0.99999999999910182957 -1.43522511992787871193 0.78770535372808492269 0.34218148642002227389 -1.40456959377111312293 0.78784173599577855818
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
2.89999999999999991118 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.40180776255969485877 0.01931994929410811232 0.99999999999911304283 -1.48423407595152867522 0.77880798983885068942 0.35427548160210070582 -1.45421290401344882603 0.77895239414083494722
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
3.00000000000000000000 0.10000000000000000555 2.45500000000000007105 11.59999999999999964473 0.41393023497559416901 0.01947146005963948032 0.99999999999911115545 -1.53312572888081932732 0.76956643212410391630 0.36635301663820191154 -1.50378875492957675419 0.76971935212081121769
