#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
5.36666679382324218750 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.98215639591217041016 0.00366979697719216347 1.00002479553222656250 -3.04182744026184082031 0.07519658654928207397 0.98140829801559448242 -3.02140784263610839844 0.06725497543811798096
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.02500009536743164062 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.81962603330612182617 -0.03906694427132606506 1.00002527236938476562 -2.35417413711547851562 -0.19672010838985443115 0.76670300960540771484 -2.36039471626281738281 -0.19587440788745880127
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
6.68333339691162109375 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.47000110149383544922 -0.01165604870766401291 1.00002467632293701172 -1.40077674388885498047 -0.15480691194534301758 0.45163679122924804688 -1.39043474197387695312 -0.15148901939392089844
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
7.34166669845581054688 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.37043789029121398926 -0.00501082604750990868 1.00002598762512207031 -1.12050330638885498047 -0.10359928756952285767 0.36160451173782348633 -1.11325812339782714844 -0.10133435577154159546
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
8.00000000000000000000 0.10000000149011611938 0.87500000000000000000 116.00000000000000000000 0.31659597158432006836 -0.00327274622395634651 1.00002562999725341797 -0.96175503730773925781 -0.07765938341617584229 0.31090930104255676270 -0.95718300342559814453 -0.07613626867532730103
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.10000000149011611938 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.05139086768031120300 0.01499917544424533844 1.00002682209014892578 -0.12769308686256408691 0.94482463598251342773 0.02008049376308917999 -0.06181634962558746338 0.94504547119140625000
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
0.75833332538604736328 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.18346086144447326660 0.01504914555698633194 1.00002670288085937500 -0.53400039672851562500 0.92885416746139526367 0.15215215086936950684 -0.46842074394226074219 0.93046557903289794922
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
1.41666662693023681641 0.10000000149011611938 1.25000000000000000000 116.00000000000000000000 0.31509444117546081543 0.01515890005975961685 1.00002551078796386719 -0.93836766481399536133 0.89026463031768798828 0.28370836377143859863 -0.87344223260879516602 0.89331579208374023438
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>
