#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.82044219970703125000 0.01105893868952989578 1.64711284637451171875 7.60615348815917968750 -0.35149961709976196289 1.17322432994842529297 -0.31347140669822692871 0.68001520633697509766 2.54415016815326655575 0.18180249631404876709 0.01105893868952989578
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.65896606445312500000 0.01132673677057027817 1.54762744903564453125 6.24627876281738281250 -0.43844038248062133789 1.20780599117279052734 -0.34185063838958740234 0.65788000822067260742 2.36929836276891192526 0.19190266728401184082 0.01132673677057027817
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.48881959915161132812 0.01156382821500301361 1.45059764385223388672 4.93371152877807617188 -0.51227062940597534180 1.23967766761779785156 -0.37075439095497131348 0.63565909862518310547 2.18899835545503451684 0.20200283825397491455 0.01156382821500301361
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.31393456459045410156 0.01177142467349767685 1.35645818710327148438 3.67358994483947753906 -0.57347738742828369141 1.26893138885498046875 -0.40010002255439758301 0.61342930793762207031 2.00725668472897256223 0.21210300922393798828 0.01177142467349767685
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 2.13775157928466796875 0.01195084769278764725 1.26555299758911132812 2.46973013877868652344 -0.62275630235671997070 1.29566907882690429688 -0.42980840802192687988 0.59126138687133789062 1.82748560047296382258 0.22220318019390106201 0.01195084769278764725
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
7.80000019073486328125 0.10000000149011611938 2.45499992370605468750 116.00000000000000000000 1.96323359012603759766 0.01210348866879940033 1.17815387248992919922 1.32465755939483642578 -0.66095465421676635742 1.31999945640563964844 -0.45980423688888549805 0.56921905279159545898 1.65252539955585375786 0.23230335116386413574 0.01210348866879940033
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t    Asin
