#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.72635027882647618114 0.00378337179157916788 0.99999999999974009679 -1.59721543205720672987 -0.17098695848729097979 1.43992647522156236306 -0.69729309738276223918 0.40808313516456090619 -0.03126020447576070838 0.31154999999997384785
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.70140537976707428847 0.00364680927867626131 0.99999999999973077092 -1.65159226120778668268 -0.19583142010264981137 1.44809374059632567366 -0.72712327694971756742 0.38920707379408325810 -0.11792111429351005703 0.32159999999997274100
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.67562725606468077011 0.00350590542741183913 0.99999999999972699616 -1.70438329673136279574 -0.21901817180155216946 1.45498475955334094500 -0.75674505486967780232 0.37077263245037750394 -0.20162220960656332402 0.33164999999997163416
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.64927372566956931266 0.00336151889620682660 0.99999999999972077891 -1.75557561866222799907 -0.24061173044646178010 1.46069525400041499985 -0.78612979742022726093 0.35278769351957084410 -0.28207316563065676362 0.34169999999997052731
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.62257493868473412491 0.00321444254678113824 0.99999999999971445064 -1.80516644216280375268 -0.26068047074956585130 1.46531657808890547479 -0.81525206509033421032 0.33525728453488190528 -0.35904632614044418304 0.35174999999996942046
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.59573491159254965410 0.00306540480982088167 0.99999999999970889952 -1.85316191166128629852 -0.27929525212684574997 1.46893559913498994440 -0.84408941681369775711 0.31818390584047595571 -0.43237030561297812303 0.36179999999996831361
#E_{dc}                \tilde{E}_{\omega}     \tilde{\omega}         mu                     v_{dr}/v_{p}         A(\omega)              NORM     v_{y}/v_{p}    m/m_{x,k}   <v_{dr}/v_{p}>   <v_{y}/v_{p}>    <m/m_{x,k}>  A_{inst}  t
7.79999999999999982236 0.10000000000000000555 5.09999999999999964473 116.00000000000000000000 1.56893318965577299728 0.00291507168415662413 0.99999999999970290432 -1.89957597287895163518 -0.29652823866503269512 1.47163464279398170653 -0.87262221547303986391 0.30156783698836014951 -0.50192362939403833977 0.37184999999996720677
